time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20100625:0500,17.57,88.0,83.0,0.0,83.0,363.2,1.03,284.0,99715.0
20100625:0600,18.56,79.45,254.0,33.55,235.0,350.0,1.03,272.0,99725.0
20100625:0700,19.11,70.45,638.0,582.0,221.0,343.2,1.45,252.0,99706.0
20100625:0800,19.83,66.0,706.0,463.09,319.0,346.4,1.66,241.0,99715.0
20100625:0900,20.55,62.55,864.0,669.43,251.0,346.4,1.86,234.0,99696.0
20100625:1000,21.03,60.15,923.0,730.72,228.0,355.8,2.07,229.0,99706.0
20100625:1100,21.5,58.4,856.0,587.55,304.0,369.6,2.34,223.0,99676.0
20100625:1200,22.21,55.45,391.0,22.69,371.0,362.4,2.41,219.0,99607.0
20100625:1300,22.43,54.7,241.0,1.28,240.0,357.8,2.48,210.0,99577.0
20100625:1400,22.39,55.75,257.0,13.94,248.0,357.0,2.34,204.0,99538.0
20100625:1500,22.4,56.5,105.0,0.0,105.0,357.4,2.21,198.0,99518.0
20100625:1600,22.0,59.95,77.0,0.0,77.0,370.8,2.07,186.0,99518.0
20100625:1700,21.42,64.25,53.0,71.02,44.0,350.2,2.0,173.0,99528.0
20100625:1800,20.32,71.4,0.0,-0.0,0.0,341.6,1.66,159.0,99518.0
20100625:1900,19.17,77.4,0.0,-0.0,0.0,356.0,1.38,157.0,99577.0
20100625:2000,18.73,79.1,0.0,-0.0,0.0,349.6,1.17,154.0,99587.0
20100625:2100,19.36,75.3,0.0,-0.0,0.0,345.2,0.9,144.0,99617.0
20100625:2200,19.63,74.05,0.0,-0.0,0.0,337.8,0.69,121.0,99587.0
20100625:2300,19.36,75.65,0.0,-0.0,0.0,333.2,0.69,81.0,99597.0
20100626:0000,18.65,78.95,0.0,-0.0,0.0,333.6,1.03,58.0,99587.0
20100626:0100,17.03,84.45,0.0,-0.0,0.0,332.45,1.31,43.0,99607.0
20100626:0200,16.24,87.65,0.0,-0.0,0.0,327.8,1.38,42.0,99626.0
20100626:0300,16.4,86.8,0.0,0.0,0.0,338.0,1.1,18.0,99617.0
20100626:0400,16.33,89.55,13.0,0.0,13.0,345.2,1.17,358.0,99626.0
20100626:0500,18.41,83.9,295.0,375.33,147.0,327.2,0.76,2.0,99617.0
20100626:0600,19.64,77.2,500.0,608.36,156.0,327.0,0.28,20.0,99636.0
20100626:0700,20.91,64.05,677.0,716.67,164.0,338.8,0.55,284.0,99646.0
20100626:0800,21.88,58.75,818.0,779.5,167.0,337.2,0.69,235.0,99617.0
20100626:0900,22.89,53.4,907.0,793.14,181.0,334.6,1.1,231.0,99617.0
20100626:1000,23.52,50.5,888.0,640.43,279.0,338.8,1.24,226.0,99597.0
20100626:1100,23.98,48.55,648.0,203.31,457.0,347.4,1.24,213.0,99577.0
20100626:1200,24.27,48.35,323.0,5.67,318.0,350.2,1.24,188.0,99557.0
20100626:1300,24.27,49.6,307.0,11.51,298.0,353.4,2.0,176.0,99587.0
20100626:1400,24.14,51.8,232.0,6.19,228.0,373.0,2.48,178.0,99587.0
20100626:1500,23.67,55.05,406.0,530.66,149.0,359.0,2.41,171.0,99567.0
20100626:1600,23.04,61.8,198.0,240.86,124.0,349.2,2.14,145.0,99577.0
20100626:1700,22.41,67.3,41.0,23.62,38.0,349.2,1.93,119.0,99597.0
